pattern,successful_value,unsuccessful_value,absolute_difference,percentage_difference
firstPersonPlural,37.77445109780439,25.301270516385845,12.473180581418543,49.298633336774714
future,4.765469061876248,3.080865914171983,1.6846031477042644,54.67953473583806
numbers,26.92115768463074,25.57391351764,1.3472441669907376,5.268040677706426
growth,2.2954091816367264,1.5268008070232837,0.7686083746134427,50.34110350727116
confidence,1.2974051896207586,1.635858007524947,-0.33845281790418835,-20.68962075848303
passion,0.7235528942115769,1.117836305142047,-0.39428341093047015,-35.27201694172631
uncertainty,2.1956087824351296,2.917280113419489,-0.7216713309843592,-24.737814091443294
firstPersonSingular,9.106786427145709,18.29434538415399,-9.18755895700828,-50.220758185566275
